antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Perangkat Jaringan'}),frozenset({'Air Conditioner'}),0.016666666666666666,0.4166666666666667,0.016666666666666666,1.0,2.4,1.0,0.009722222222222222,inf,0.5932203389830509,0.04,1.0,0.52
frozenset({'Baterai Aa Abc Alkaline'}),frozenset({'Kabel Roll'}),0.03333333333333333,0.25,0.03333333333333333,1.0,4.0,1.0,0.025,inf,0.7758620689655173,0.13333333333333333,1.0,0.5666666666666667
frozenset({'Jaringan Listrik'}),frozenset({'Lampu Penerangan'}),0.05,0.2833333333333333,0.03333333333333333,0.6666666666666666,2.3529411764705883,1.0,0.019166666666666665,2.15,0.6052631578947368,0.11111111111111112,0.5348837209302325,0.39215686274509803
frozenset({'Telepon'}),frozenset({'Printer'}),0.016666666666666666,0.08333333333333333,0.016666666666666666,1.0,12.0,1.0,0.015277777777777777,inf,0.9322033898305085,0.2,1.0,0.6
frozenset({'Starter Philips'}),frozenset({'Lampu Penerangan'}),0.016666666666666666,0.2833333333333333,0.016666666666666666,1.0,3.5294117647058822,1.0,0.011944444444444445,inf,0.7288135593220341,0.058823529411764705,1.0,0.5294117647058824
frozenset({'Rumah Downlight'}),frozenset({'Starter Philips'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Starter Philips'}),frozenset({'Rumah Downlight'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Rumah Downlight'}),frozenset({'Lampu Penerangan'}),0.016666666666666666,0.2833333333333333,0.016666666666666666,1.0,3.5294117647058822,1.0,0.011944444444444445,inf,0.7288135593220341,0.058823529411764705,1.0,0.5294117647058824
"frozenset({'Rumah Downlight', 'Starter Philips'})",frozenset({'Lampu Penerangan'}),0.016666666666666666,0.2833333333333333,0.016666666666666666,1.0,3.5294117647058822,1.0,0.011944444444444445,inf,0.7288135593220341,0.058823529411764705,1.0,0.5294117647058824
"frozenset({'Rumah Downlight', 'Lampu Penerangan'})",frozenset({'Starter Philips'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Starter Philips', 'Lampu Penerangan'})",frozenset({'Rumah Downlight'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Rumah Downlight'}),"frozenset({'Starter Philips', 'Lampu Penerangan'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Starter Philips'}),"frozenset({'Rumah Downlight', 'Lampu Penerangan'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Alat Pendingin 1'}),frozenset({'Alat Pendingin 2'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Alat Pendingin 2'}),frozenset({'Alat Pendingin 1'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Kipas Angin'}),frozenset({'Lampu Penerangan'}),0.016666666666666666,0.2833333333333333,0.016666666666666666,1.0,3.5294117647058822,1.0,0.011944444444444445,inf,0.7288135593220341,0.058823529411764705,1.0,0.5294117647058824
frozenset({'CCTV'}),frozenset({'Kabel Roll'}),0.03333333333333333,0.25,0.016666666666666666,0.5,2.0,1.0,0.008333333333333333,1.5,0.5172413793103449,0.0625,0.3333333333333333,0.2833333333333333
frozenset({'CCTV'}),frozenset({'Air Conditioner'}),0.03333333333333333,0.4166666666666667,0.016666666666666666,0.5,1.2,1.0,0.0027777777777777766,1.1666666666666665,0.1724137931034482,0.03846153846153846,0.14285714285714285,0.27
frozenset({'Mesin Molen'}),frozenset({'Kabel Roll'}),0.016666666666666666,0.25,0.016666666666666666,1.0,4.0,1.0,0.0125,inf,0.7627118644067798,0.06666666666666667,1.0,0.5333333333333333
frozenset({'Proyektor'}),frozenset({'Air Conditioner'}),0.03333333333333333,0.4166666666666667,0.016666666666666666,0.5,1.2,1.0,0.0027777777777777766,1.1666666666666665,0.1724137931034482,0.03846153846153846,0.14285714285714285,0.27
frozenset({'Proyektor'}),frozenset({'Printer'}),0.03333333333333333,0.08333333333333333,0.016666666666666666,0.5,6.0,1.0,0.013888888888888888,1.8333333333333333,0.8620689655172413,0.16666666666666666,0.4545454545454546,0.35
frozenset({'Mcb Trip'}),frozenset({'Stop Kontak'}),0.016666666666666666,0.08333333333333333,0.016666666666666666,1.0,12.0,1.0,0.015277777777777777,inf,0.9322033898305085,0.2,1.0,0.6
