antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Air Conditioner (Gedung Kuliah 6 ( Manajemen Informatika ), Jurusan Manajemen Informatika)'})","frozenset({'Printer (Ruang Keuangan, Kpa)'})",0.002902757619738752,0.011611030478955007,0.002902757619738752,1.0,86.125,1.0,0.0028690536125429464,inf,0.9912663755458515,0.25,1.0,0.625
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer 1 Lantai Satu, Jurusan Administrasi Bisnis)'})","frozenset({'Air Conditioner (Laboratorium Simulasi Bisnis Jurusan Administrasi Bisnis Lantai Dua, Jurusan Administrasi Bisnis)', 'Air Conditioner (Laboratorium Komputer 2 Lantai 2, Jurusan Administrasi Bisnis)'})",0.002902757619738752,0.002902757619738752,0.002902757619738752,1.0,344.5,1.0,0.0028943316179398004,inf,1.0,1.0,1.0,1.0
